GeneID	basemean-S_0d	basemean-S_3d
CL5367.Contig2_All	9.42341049	0.213341179
CL10883.Contig1_All	9.126036878	0.089378714
CL2345.Contig4_All	9.910386974	0.364810766
CL9081.Contig1_All	9.059328991	0.048639574
CL5037.Contig3_All	11.90741068	0.753627876
CL1865.Contig1_All	20.05952295	2.067794718
CL5686.Contig4_All	126.4511532	19.58300812
CL10244.Contig2_All	808.7483799	131.5372808
CL10244.Contig1_All	642.597872	104.2909068
Unigene13261_All	30.38631091	3.82794204
CL8912.Contig1_All	18.07392464	1.809942577
Unigene16678_All	25.48949856	2.976952988
Unigene6813_All	14.12468162	1.145286128
Unigene5502_All	8.804565437	0.107948473
Unigene5044_All	56.48648686	8.055129596
CL2656.Contig5_All	9.588559189	0.360470099
CL9600.Contig1_All	24.73935811	2.929742983
CL639.Contig1_All	8.821885996	0.125979799
CL4323.Contig1_All	57.52088794	8.460016837
CL5729.Contig2_All	10.80517809	0.65809438
CL5686.Contig1_All	86.97317305	13.66641339
CL4442.Contig4_All	32.35330853	4.327768112
CL4294.Contig2_All	139.1346402	22.69131531
CL4442.Contig3_All	23.73537325	2.812762752
CL3857.Contig3_All	14.67934123	1.35312531
CL6151.Contig1_All	8.616145999	0.144241495
CL7159.Contig5_All	47.55117006	6.866532131
CL12235.Contig2_All	8.817918567	0.274595215
CL7328.Contig2_All	63.28358255	9.84117615
CL12654.Contig1_All	91.04689851	14.68343707
CL10070.Contig1_All	21.43998029	2.439646923
CL11260.Contig2_All	170.0438792	28.29817874
CL7320.Contig3_All	8.555360181	0.228230527
CL11992.Contig2_All	25.25654602	3.254681386
Unigene23654_All	8.248425518	0.11579248
CL11888.Contig2_All	20.5461998	2.408758691
CL284.Contig2_All	8.467775722	0.254860235
Unigene13537_All	17.03883451	1.920765277
CL2964.Contig1_All	46.45948877	6.899766927
Unigene5789_All	8.048986173	0.087842681
Unigene10028_All	19.76088954	2.248040943
CL3857.Contig1_All	26.10430041	3.507146911
Unigene8679_All	8.078407039	0.152803775
CL3007.Contig4_All	112.1432396	19.19398452
Unigene6464_All	25.40465362	3.354215166
CL4419.Contig1_All	22.54095877	2.853834675
CL7856.Contig1_All	2.579146624	21.02624877
CL7947.Contig3_All	44.64498951	6.8283699
Unigene6903_All	8.14297272	0.218264128
CL3080.Contig2_All	15.5523088	1.677843833
Unigene9388_All	3.560707114	25.40970666
CL639.Contig5_All	9.857157424	0.624067849
Unigene13894_All	8.093537217	0.231710607
Unigene2003_All	24.84884125	3.441105181
Unigene3228_All	10.01899149	0.688213116
CL597.Contig2_All	20.11680504	2.492101489
CL9499.Contig4_All	25.27685752	3.558055404
Unigene13748_All	9.969204255	0.690425519
CL1388.Contig2_All	43.3359566	6.881632425
CL1395.Contig1_All	40.16942128	6.075736094
CL2083.Contig5_All	23.84088031	3.303650523
CL371.Contig1_All	65.26014794	10.76454651
CL2062.Contig7_All	32.19461098	4.73039121
CL6472.Contig5_All	20.24512198	2.543084907
CL7865.Contig2_All	8.586904704	0.425221989
CL12798.Contig1_All	7.534581428	0.074602417
CL10344.Contig1_All	0.41680645	8.504921954
CL3721.Contig2_All	22.93276661	3.176002507
CL8509.Contig2_All	1.257839367	13.1198024
CL5597.Contig1_All	251.999958	1337.881774
CL11879.Contig1_All	17.46216596	2.11558714
CL4920.Contig2_All	8.415842144	0.415238383
CL12530.Contig3_All	7.46515645	0.105564753
Unigene7188_All	11.14496651	0.939942672
Unigene14172_All	7.405095471	0.091431767
CL3736.Contig1_All	21.15899133	2.840557115
CL10262.Contig1_All	7.716806928	0.239437056
CL2751.Contig2_All	33.57762257	5.128980061
Unigene4054_All	8.319358889	0.423310726
CL2062.Contig2_All	33.91100584	5.28762748
Unigene17328_All	7.582843754	0.204917052
Unigene4215_All	7.382065773	0.10782801
CL3969.Contig1_All	17.75825446	2.198909731
Unigene6367_All	24.98283377	138.0025203
CL11453.Contig2_All	13.61554074	1.400473374
Unigene3989_All	8.660212921	0.519057518
Unigene4861_All	27.15048186	3.93406865
CL5231.Contig1_All	9.941499647	0.78463449
CL4323.Contig2_All	32.83458182	5.244362405
CL8107.Contig1_All	17.2033787	2.148365199
CL11453.Contig1_All	12.70629765	1.300750837
CL5703.Contig2_All	46.00840457	7.580908729
CL9123.Contig1_All	107.0153979	19.49781469
CL12798.Contig2_All	7.274101933	0.149392977
CL6039.Contig2_All	7.139070058	0.101099779
CL3233.Contig1_All	17.52619304	2.214342205
Unigene13469_All	7.806633482	46.16076192
CL8313.Contig2_All	13.61836428	1.523865564
CL5041.Contig11_All	15.67579731	1.848040903
CL2062.Contig4_All	30.71379826	4.830548388
Unigene1503_All	10.98026373	0.985378086
CL2171.Contig3_All	0.416258569	8.102100242
Unigene366_All	11.90835173	1.153765358
CL6472.Contig2_All	19.53932032	2.73206111
CL415.Contig1_All	59.48708948	10.28338729
CL6375.Contig1_All	12.73494939	1.318539913
Unigene11739_All	43.49307148	7.378784903
CL878.Contig7_All	10.36375588	0.885809453
CL752.Contig2_All	10.17558546	0.819787675
Unigene13262_All	19.0843936	2.619819146
CL878.Contig4_All	15.33837669	1.850230648
CL3007.Contig2_All	75.63155526	13.56590406
CL3969.Contig2_All	18.45400761	2.49873119
Unigene4105_All	7.510614004	0.316624553
Unigene1118_All	6.947126719	0.13731452
CL11054.Contig3_All	7.161832863	0.227374693
CL6037.Contig3_All	31.41858645	5.110175553
Unigene188_All	37.5862507	6.334793512
CL4395.Contig3_All	4.236673483	27.14398638
CL6472.Contig1_All	15.50123241	1.930190482
CL2345.Contig3_All	7.008494464	0.187648748
CL5946.Contig2_All	71.65414342	13.47320776
CL2642.Contig13_All	8.390698431	0.541421406
Unigene9750_All	8.030658252	0.469843501
CL9772.Contig2_All	7.217292697	0.278842318
CL11724.Contig1_All	14.23341285	1.68470044
CL11888.Contig1_All	14.25828792	1.701057005
CL5041.Contig9_All	12.12614351	1.342721743
CL3862.Contig9_All	7.898761261	0.45127276
CL7178.Contig2_All	6.722521105	0.097900239
Unigene4959_All	62.86572297	11.82210933
CL2642.Contig7_All	11.87361527	1.244875063
CL3490.Contig5_All	24.72227158	3.714178837
Unigene1740_All	11.74377426	1.213325395
CL3667.Contig3_All	8.239266428	0.554061854
CL2368.Contig1_All	9.476254167	0.791925103
Unigene13596_All	3.067113742	21.05260486
CL7416.Contig1_All	27.6020849	4.462235916
CL878.Contig6_All	10.76214107	1.027913303
CL12601.Contig4_All	8.07287299	0.519885851
CL10756.Contig1_All	16.64261067	2.330827736
CL1479.Contig7_All	51.7796618	9.626894089
CL810.Contig3_All	195.9857507	38.15311468
CL2062.Contig5_All	16.15468393	2.192137716
Unigene11897_All	41.39399351	7.256108516
CL1335.Contig2_All	7.079420111	0.307844854
CL5980.Contig2_All	150.0610417	28.88571596
CL5041.Contig10_All	14.61022228	1.858161272
CL5623.Contig1_All	38.10194015	6.53218631
Unigene10812_All	40.98193084	7.266174147
CL7003.Contig5_All	14.01987221	1.728922326
CL10172.Contig1_All	6.436965494	0.068398365
Unigene13433_All	11.19166379	1.161357095
Unigene21696_All	13.88866883	1.723599331
Unigene9365_All	19.90072204	2.922694604
CL5231.Contig4_All	7.594405404	0.467117369
CL888.Contig3_All	6.390735558	0.081619577
CL2083.Contig4_All	12.66890802	1.432242791
CL11510.Contig1_All	10.95147833	1.126626025
CL4713.Contig5_All	6.65292382	0.2268093
CL2012.Contig3_All	21.40755916	3.251747682
CL4375.Contig1_All	24.93712387	4.046786476
Unigene6599_All	21.68093962	111.2213569
Unigene11140_All	37.21142939	6.616242028
Unigene13403_All	7.768055694	0.509890225
Unigene3351_All	6.457066118	0.156066857
CL3490.Contig4_All	42.50096888	7.809107179
Unigene15371_All	1.05452983	10.40011553
CL421.Contig5_All	0.539080701	7.805214078
CL7147.Contig1_All	10.25998148	1.033984931
CL6026.Contig1_All	6.433608697	0.18591126
Unigene4196_All	7.346222604	0.457879433
Unigene10072_All	19.84157988	2.965198028
CL597.Contig5_All	38.86790711	7.236493418
Unigene11859_All	6.426340066	0.199292509
Unigene11275_All	8.211579232	0.659191135
CL2642.Contig16_All	6.8870885	0.349493752
CL949.Contig1_All	12.03672051	1.364931126
CL7003.Contig4_All	17.72471122	2.532953563
CL4742.Contig4_All	7.462467842	0.47328114
CL1810.Contig1_All	6.21200747	0.114602831
CL597.Contig3_All	25.18542169	4.192769863
CL9668.Contig1_All	14.22132115	1.894523818
CL2642.Contig2_All	6.695594174	0.314382468
CL8912.Contig2_All	17.32536924	2.502983511
CL5250.Contig3_All	6.928213789	0.383968338
CL878.Contig2_All	12.97048329	1.63770778
CL5367.Contig4_All	6.478488343	0.254732559
CL125.Contig1_All	34.03805588	6.163216089
CL7855.Contig2_All	65.53338173	12.63803427
CL12327.Contig1_All	93.13860716	18.52124943
CL2223.Contig13_All	10.5706831	1.188445416
CL542.Contig1_All	200.9756245	937.0996092
CL2642.Contig8_All	7.667480708	0.562148271
CL10736.Contig1_All	14.10222461	1.984742425
CL2642.Contig15_All	72.05520083	14.10991457
Unigene23711_All	24.04660707	4.111328326
Unigene16767_All	16.36012013	2.338161932
CL14.Contig2_All	18.73058461	2.981016035
CL5037.Contig2_All	7.799691119	0.623420841
Unigene11680_All	67.89424763	13.28190628
CL11260.Contig1_All	146.0180977	30.19563228
CL3721.Contig4_All	17.38111723	2.592613278
CL6490.Contig2_All	71.25542969	328.151244
CL995.Contig2_All	13.14226599	1.77452611
CL878.Contig8_All	10.02908712	1.123034108
CL9887.Contig1_All	29.14518105	137.9142268
Unigene1473_All	15.71543136	2.238987911
CL5934.Contig4_All	26.50532429	4.597710723
CL3736.Contig2_All	13.22064243	1.814967493
CL10080.Contig2_All	5.841831476	0.059859264
CL4920.Contig1_All	5.844898195	0.073376412
CL3642.Contig2_All	17.15621492	2.621801799
CL752.Contig1_All	7.517466702	0.571592738
Unigene8382_All	17.11295104	2.627724263
CL7865.Contig1_All	6.136516219	0.229039579
Unigene6918_All	15.47494074	2.236753711
CL810.Contig2_All	101.356276	21.10285061
CL6874.Contig6_All	163.3240129	35.46482611
CL7147.Contig2_All	8.33780753	0.757320796
